Type;Folder;File;Error
Video;Sebastien;20220331_184600.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220401_193000.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220403_021700.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220406_122100.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220407_145500.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220408_183500.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220412_183300.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220413_114100.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220418_170400.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220419_113600.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220419_163800.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220420_192600.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220421_183700.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220423_081800.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220424_114900.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220508_123700.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220513_151700.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220513_151800.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220514_104900.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220519_185400.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220519_185500.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220519_185600.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220522_110400.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220525_180000.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220525_180001.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220528_173500.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220530_153000.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220530_153200.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220609_175200.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220619_082500.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220619_142400.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220624_104000.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220625_153300.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220626_091800.mp4;[WinError 2] The system cannot find the file specified
Video;Sebastien;20220711_170000.mp4;[WinError 2] The system cannot find the file specified
