Type;Folder;File;Error
Picture;Nera;20140215_151700.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nera;20140215_160500.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nera;20150406_162300.JPG;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nera;20150407_185100.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nora;20130804_153200.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nora;20130804_165600.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nora;20130804_174200.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nora;20140112_160000.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nora;20140215_154000.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nora;20140220_134000.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nora;20140223_115500.JPG;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nora;20140223_135600.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nora;20140919_173900.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nora;20140919_173901.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nora;20140920_085800.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nora;20140920_085801.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nora;20140920_085900.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nora;20140920_090000.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nora;20140920_090001.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nora;20140920_090003.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nora;20140920_090006.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nora;20140920_090010.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nora;20140920_090015.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nora;20140920_090100.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nora;20140920_090101.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nora;20140920_090200.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nora;20140920_101300.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nora;20140920_101301.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nora;20140920_101303.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
Picture;Nora;20140920_101306.jpg;Get_Picture_Main_Att() missing 1 required positional argument: 'Settings'
